LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.08623300083621926
Amygdala;DICE;STD;0.08744432020916004
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.2503612254359896
GreyMatter;DICE;STD;0.2505205349408675
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.09427026851650112
Hippocampus;DICE;STD;0.09467578029793494
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.27348091991914897
Thalamus;DICE;STD;0.013934124805050456
Thalamus;HDRFDST;MEAN;73.00438516425898
Thalamus;HDRFDST;STD;1.1444416929329984
WhiteMatter;DICE;MEAN;0.05794006887521112
WhiteMatter;DICE;STD;0.05826735118229411
WhiteMatter;HDRFDST;MEAN;inf
WhiteMatter;HDRFDST;STD;nan
