LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994205207457643
Amygdala;ACURCY;STD;7.302191879306064e-05
Amygdala;AVGDIST;MEAN;1.306781352873394
Amygdala;AVGDIST;STD;0.23671539764310925
Amygdala;DICE;MEAN;0.5492037031371825
Amygdala;DICE;STD;0.04656963280334897
Amygdala;HDRFDST;MEAN;12.02510902262551
Amygdala;HDRFDST;STD;1.302594715930672
Amygdala;JACRD;MEAN;0.37997250130723836
Amygdala;JACRD;STD;0.04425014733554039
Amygdala;PRCISON;MEAN;0.392317733554239
Amygdala;PRCISON;STD;0.042520332234533456
Amygdala;SPCFTY;MEAN;0.9994505867886255
Amygdala;SPCFTY;STD;6.582650395256057e-05
Amygdala;VOLSMTY;MEAN;0.5963534972968916
Amygdala;VOLSMTY;STD;0.039424977377535565
GreyMatter;ACURCY;MEAN;0.921468120543304
GreyMatter;ACURCY;STD;0.03670122394148612
GreyMatter;AVGDIST;MEAN;4.3675031378458575
GreyMatter;AVGDIST;STD;4.082747382880824
GreyMatter;DICE;MEAN;0.6149523478953894
GreyMatter;DICE;STD;0.11741990611930929
GreyMatter;HDRFDST;MEAN;23.23173585932022
GreyMatter;HDRFDST;STD;21.19637820390018
GreyMatter;JACRD;MEAN;0.4544406090180959
GreyMatter;JACRD;STD;0.12324241351924216
GreyMatter;PRCISON;MEAN;0.464443376035158
GreyMatter;PRCISON;STD;0.12835533086685313
GreyMatter;SPCFTY;MEAN;0.9191333542657703
GreyMatter;SPCFTY;STD;0.03907072805811539
GreyMatter;VOLSMTY;MEAN;0.6420517020616817
GreyMatter;VOLSMTY;STD;0.12276456345813584
Hippocampus;ACURCY;MEAN;0.9983565619543049
Hippocampus;ACURCY;STD;0.00020157557823751297
Hippocampus;AVGDIST;MEAN;1.149916586741325
Hippocampus;AVGDIST;STD;0.15029769829197004
Hippocampus;DICE;MEAN;0.5480032147585183
Hippocampus;DICE;STD;0.02784295947982275
Hippocampus;HDRFDST;MEAN;11.702085628642298
Hippocampus;HDRFDST;STD;1.2087977249827246
Hippocampus;JACRD;MEAN;0.3779188855014813
Hippocampus;JACRD;STD;0.026361653277359294
Hippocampus;PRCISON;MEAN;0.38336192035011946
Hippocampus;PRCISON;STD;0.027434455083973294
Hippocampus;SPCFTY;MEAN;0.9983917855718418
Hippocampus;SPCFTY;STD;0.00020189829115293065
Hippocampus;VOLSMTY;MEAN;0.5683535314381656
Hippocampus;VOLSMTY;STD;0.031765365275513026
Thalamus;ACURCY;MEAN;0.9987576609839742
Thalamus;ACURCY;STD;0.0001728061890938288
Thalamus;AVGDIST;MEAN;0.4845497460226653
Thalamus;AVGDIST;STD;0.09061669224884045
Thalamus;DICE;MEAN;0.7618325563935463
Thalamus;DICE;STD;0.02492462012283192
Thalamus;HDRFDST;MEAN;8.95845541384174
Thalamus;HDRFDST;STD;3.5701647858620777
Thalamus;JACRD;MEAN;0.6159480319705463
Thalamus;JACRD;STD;0.03267569635027581
Thalamus;PRCISON;MEAN;0.6291866263092338
Thalamus;PRCISON;STD;0.03551162595523465
Thalamus;SPCFTY;MEAN;0.9988223149596323
Thalamus;SPCFTY;STD;0.00017626622264910104
Thalamus;VOLSMTY;MEAN;0.7875666496344393
Thalamus;VOLSMTY;STD;0.028893978643811716
WhiteMatter;ACURCY;MEAN;0.9777807805595871
WhiteMatter;ACURCY;STD;0.0019198730555457495
WhiteMatter;AVGDIST;MEAN;0.22734450536723455
WhiteMatter;AVGDIST;STD;0.02242513928216401
WhiteMatter;DICE;MEAN;0.8269611878632415
WhiteMatter;DICE;STD;0.019321285356077685
WhiteMatter;HDRFDST;MEAN;2.3872470317401406
WhiteMatter;HDRFDST;STD;0.31788615799981823
WhiteMatter;JACRD;MEAN;0.7054301711259392
WhiteMatter;JACRD;STD;0.027735302884394998
WhiteMatter;PRCISON;MEAN;0.7232459905017566
WhiteMatter;PRCISON;STD;0.03281108084142262
WhiteMatter;SPCFTY;MEAN;0.9784390308238361
WhiteMatter;SPCFTY;STD;0.002490690072145272
WhiteMatter;VOLSMTY;MEAN;0.8554106692897745
WhiteMatter;VOLSMTY;STD;0.026251140770968698
