Label,Metric,Value
WhiteMatter,DICE,0.818039486715174
WhiteMatter,JACRD,0.6921039049280362
WhiteMatter,VOLSMTY,0.8465184161298231
WhiteMatter,AVGDIST,0.2268562213364024
WhiteMatter,HDRFDST,2.0
WhiteMatter,ACURCY,0.9782704645343804
GreyMatter,DICE,0.7376304850292845
GreyMatter,JACRD,0.5843221626327028
GreyMatter,VOLSMTY,0.7679221200472469
GreyMatter,AVGDIST,0.2748323826994489
GreyMatter,HDRFDST,2.0
GreyMatter,ACURCY,0.9555250551307282
Hippocampus,DICE,0.5276364218274924
Hippocampus,JACRD,0.35836014259629595
Hippocampus,VOLSMTY,0.5533685389662346
Hippocampus,AVGDIST,1.0919030247563088
Hippocampus,HDRFDST,10.344080432788601
Hippocampus,ACURCY,0.9982987310278655
Amygdala,DICE,0.5849091242885992
Amygdala,JACRD,0.4133367929423975
Amygdala,VOLSMTY,0.5979438222874978
Amygdala,AVGDIST,0.9787283060369758
Amygdala,HDRFDST,11.180339887498949
Amygdala,ACURCY,0.9994787493534798
Thalamus,DICE,0.7440724306395948
Thalamus,JACRD,0.5924485207522929
Thalamus,VOLSMTY,0.7566671148760701
Thalamus,AVGDIST,0.5243530938428885
Thalamus,HDRFDST,7.483314773547883
Thalamus,ACURCY,0.998683617341163
SmallStructures,DICE,0.6534041792971497
SmallStructures,JACRD,0.4852266502328129
SmallStructures,VOLSMTY,0.66352393356462
SmallStructures,AVGDIST,0.7536927890870807
SmallStructures,HDRFDST,8.306623862918075
SmallStructures,ACURCY,0.9965337177816209
